11	Shell text editing: Cmd+A select all, Shift+Arrow selection, ESC to cancel
11	AI error fixer: auto-suggests fixes on failure, Cmd+Shift+E to apply
11	Type y to launch Yazi, cd+Tab falls back to zsh-z history
11	Plugins already loaded by your config are no longer duplicated
11	Fixed: delete key after Chinese IME, terminal type for sudo+nano
11	Improved shell integration defaults for daily terminal editing
12	Shell text editing now supports Cmd+A, Shift+Arrow selection, and ESC cancel
12	AI error fixer can suggest and apply fixes directly in the terminal
12	Yazi launcher and cd+Tab fallback are now built into the default shell workflow
12	Shell integration compatibility is improved for SSH, Delete key behavior, and existing plugins
13	Starship prompt and AI shell hooks are more reliable in zsh and xterm-256color environments
13	First-run setup and managed shell integration refresh are more stable across environments
14	Fixed an early 0.6.0 zsh prompt helper issue and now regenerate the managed script correctly
15	Yazi now follows Kaku dark and light themes automatically, with corrected folder and file colors in both modes
15	Kaku now refreshes managed tmux integration automatically so Shift+wheel works in local tmux full-screen apps
15	Kaku now always loads its managed zsh integration when available, fixing shells that missed aliases and prompt setup
15	Smart Tab now only takes over Tab inside Kaku sessions by default, so other terminals keep their own completion workflow
15	Kaku can now follow macOS appearance automatically, so bundled dark and light themes switch with the system
15	Bundled defaults now respect your active custom kaku.lua path and no longer override your own font settings
15	Tab and pane close protection defaults are available in the bundled config and Settings TUI for safer multi-pane workflows
16	kaku init now detects Homebrew correctly in non-standard paths such as ~/homebrew
16	Bundled shell helpers keep working when Homebrew lives outside the standard macOS prefixes
16	Background tabs now show a bell prefix without the duplicate unread bell dot
17	Fish shell is now fully supported; run kaku init to configure prompt, yazi, and theme sync
17	Zsh integration now handles ssh alias conflicts and autosuggest widget detection automatically
18	fast-syntax-highlighting replaces zsh-syntax-highlighting for richer colors and faster startup
18	zsh-z is bundled for directory jumping; your existing ~/.z history works immediately
18	cd+Tab falls back to zsh-z history when filesystem completion has no match
18	Zsh updates now preserve custom inline Kaku blocks when they contain user changes
19	Global Hotkey now supports Space in the config TUI
19	Zsh suggestions now avoid conflicts with Kiro and Amazon Q CLI
19	Zsh comment color is now visible in dark themes; no longer invisible against dark backgrounds
19	AI Chat Panel: press Cmd+L to chat with AI directly inside the terminal, with streaming and scroll
19	Shell user-var updates are now cached at startup for faster prompt rendering
19	MacPorts and non-Homebrew package managers are now detected correctly by kaku init
19	Cmd+W and Cmd+Shift+W now smart-confirm: bare shells close silently, AI agents and editors prompt before they get killed
19	Bundled starship.toml shows the current git branch and skips the noisy modification icons; existing users can refresh by removing ~/.config/starship.toml and running kaku init
19	Kaku Light now keeps pale Hermes agent text readable on the cream background
20	# AI queries now clear the submitted comment immediately so generated commands cannot append after stale input
20	kaku init now avoids read-only config paths and preserves existing jump providers before loading bundled zsh-z
20	# AI 查询提交后会立即清空注释输入，避免生成的命令接在旧输入后面
20	kaku init 现在会跳过只读配置路径，并在加载内置 zsh-z 前保留已有目录跳转工具
21	Tab and pane close confirmation now support Never, Smart, and Always modes; explicit false closes immediately
21	标签页和面板关闭确认现在支持 Never、Smart、Always 三种模式，显式 false 会立即关闭
21	Cmd+Q now smart-confirms by default: Kaku quits instantly when every pane sits at a shell prompt, and asks first when an agent or editor is still running
21	Cmd+Q 现在默认智能确认：所有面板都在 shell 提示符时直接退出，仍有 agent 或编辑器在运行时会先询问
21	Kaku Dark now reports a dark terminal background to Hermes so response text stays readable
21	Kaku Dark 现在会向 Hermes 正确报告深色终端背景，回复正文不再变成黑字
22	Comment color stays readable in dark theme even when fast-syntax-highlighting or zsh-syntax-highlighting was loaded by your own .zshrc instead of Kaku
22	即使你在 .zshrc 里自行加载了 fast-syntax-highlighting 或 zsh-syntax-highlighting，深色主题下 # 注释颜色也会保持可读
23	Tab now accepts the grey autosuggestion by default when one is shown, and still falls back to completion otherwise; set smart_tab_mode = 'completion_first' to keep the old completion-first behavior
23	Tab 现在默认接受灰色自动建议：有建议时按 Tab 直接采纳，没有时仍回退到补全；想保留旧的补全优先行为可设 smart_tab_mode = 'completion_first'
24	Yazi launched from Kaku works again with newer Yazi versions: config files written by older Kaku are repaired automatically
24	从 Kaku 启动 Yazi 在新版 Yazi 下恢复正常：旧版 Kaku 写入的配置文件会被自动修复
25	Existing directory paths in the command line no longer carry a stray underline, and hovering one no longer stacks a second underline
25	命令行里已存在的目录路径不再带一条多余的下划线，悬停时也不会再叠出第二条
26	Cmd+Click now opens a hovered link even inside tools that capture the mouse such as Claude, Codex, or vim, so the same shortcut works everywhere
26	在 Claude、Codex、vim 这类会捕获鼠标的工具里，Cmd+Click 现在也能打开悬停的链接，同一个快捷键到处都管用
27	Foreground process names in tab titles are now opt-in via tab_title_show_foreground_process, keeping default tab titles path-focused and compact
27	tab 标题里的前台进程名现在改为通过 tab_title_show_foreground_process 选择开启，默认标题继续以路径为主、更简洁
28	Shell snapshots no longer leave Kaku's ssh wrapper pointing to a missing helper, so restored zsh sessions can use ssh normally
28	Shell 快照不再让 Kaku 的 ssh 包装函数指向缺失的辅助函数，恢复后的 zsh 会话可以正常使用 ssh
29	The ssh wrapper now behaves the same across zsh, fish, and bash, keeps user-defined ssh functions, and mosh gets the same TERM fallback
29	ssh 包装在 zsh、fish、bash 下行为一致，保留用户自定义的 ssh 函数，mosh 也会获得相同的 TERM 回退
30	Inline AI shell controls now require a local capability, preventing terminal output from triggering assistant requests with your configured credentials
30	内联 AI 的 shell 控制消息现在需要本地 capability，终端输出无法再借用已配置凭据触发助手请求
30	Starship prompt setup now runs only inside Kaku, so your other terminals keep their own prompt
30	Starship 提示符配置现在只在 Kaku 内生效，其他终端会保留各自原有的提示符
31	Inline AI (# requests and error fixes) now works reliably in zsh, and # comments never block Enter outside Kaku
31	行内 AI（# 请求与报错修复）在 zsh 下恢复可靠工作，Kaku 之外的 # 注释不再卡住回车
31	File links can now open in your chosen editor with config.file_link_editor
31	文件链接现在可通过 config.file_link_editor 使用你指定的编辑器打开
31	Bare domains like github.com are now Cmd+Click-able without a scheme prefix
31	github.com 这类不带协议前缀的裸域名现在也可以 Cmd+Click 打开
31	Option+Click moves the shell cursor within the current input line
31	Option+Click 可在当前输入行内移动光标
